"Host.Species","Lake","Year","Julian.Day","Julian","Date","Date2","Total","Uninfected.Adult","Uninfected.Juv","Uninfected.Males","Uninfected.Ephip","pasteuria.prev","brood.prev","micG.prev","coke.prev","Host.Density"
"dentifera","Bishop",2022,2022153,153,"2-Jun-22","6/2/2022",241,73,79,19,1,0,0,0.033195020746888,0.24896265560166,291087.5
"dentifera","Bishop",2022,2022194,194,"13-Jul-22","7/13/2022",250,135,109,0,0,0,0,0.016,0.008,27176.2
"dentifera","Bishop",2022,2022208,208,"27-Jul-22","7/27/2022",220,102,90,0,0,0,0,0.0863636363636364,0.0545454545454545,29893.8
"dentifera","Bishop",2022,2022222,222,"10-Aug-22","8/10/2022",217,79,121,0,0,0,0,0.0737327188940092,0.00460829493087558,10135.9
"dentifera","Bishop",2022,2022236,236,"24-Aug-22","8/24/2022",281,101,151,0,0,0.00355871886120996,0,0.0925266903914591,0.00711743772241993,7636.5
"dentifera","Bishop",2022,2022250,250,"7-Sep-22","9/7/2022",255,60,164,0,0,0.00784313725490196,0,0.109803921568627,0,14699.9
"dentifera","Bishop",2022,2022264,264,"21-Sep-22","9/21/2022",322,66,224,0,0,0.0062111801242236,0,0.0714285714285714,0.0248447204968944,19446.1
"dentifera","Bishop",2022,2022278,278,"5-Oct-22","10/5/2022",283,32,101,19,0,0.00353356890459364,0,0.0176678445229682,0.452296819787986,41018
"dentifera","Bishop",2022,2022292,292,"19-Oct-22","10/19/2022",204,33,44,20,1,0,0,0.00490196078431373,0.514705882352941,15775.5
"dentifera","Bishop",2022,2022307,307,"3-Nov-22","11/3/2022",224,68,43,38,12,0,0,0.0133928571428571,0.267857142857143,10536
"dubia","Bishop",2022,2022153,153,"2-Jun-22","6/2/2022",123,69,52,0,0,0,0,0,0.016260162601626,3446.1
"dubia","Bishop",2022,2022194,194,"13-Jul-22","7/13/2022",226,79,147,0,0,0,0,0,0,13648.5
"dubia","Bishop",2022,2022208,208,"27-Jul-22","7/27/2022",106,28,77,0,0,0,0,0,0,2880.7
"dubia","Bishop",2022,2022222,222,"10-Aug-22","8/10/2022",215,85,130,0,0,0,0,0,0,20084.9
"dubia","Bishop",2022,2022236,236,"24-Aug-22","8/24/2022",190,75,115,0,0,0,0,0,0,5163.5
"dubia","Bishop",2022,2022250,250,"7-Sep-22","9/7/2022",270,82,179,0,0,0,0.0259259259259259,0,0.00740740740740741,7337.6
"dubia","Bishop",2022,2022264,264,"21-Sep-22","9/21/2022",301,31,264,3,0,0,0.00664451827242525,0,0.00332225913621262,8180
"dubia","Bishop",2022,2022278,278,"5-Oct-22","10/5/2022",203,69,83,22,0,0,0.0394088669950739,0,0.108374384236453,10263.8
"dubia","Bishop",2022,2022292,292,"19-Oct-22","10/19/2022",98,15,39,3,0,0,0,0,0.418367346938776,2686.3
"dubia","Bishop",2022,2022307,307,"3-Nov-22","11/3/2022",48,17,25,0,1,0,0,0,0.104166666666667,1304.5
"pulicaria","Bishop",2022,2022153,153,"2-Jun-22","6/2/2022",202,133,39,28,0,0,0,0,0.0099009900990099,26778.5
"pulicaria","Bishop",2022,2022194,194,"13-Jul-22","7/13/2022",204,70,129,0,0,0,0,0,0.0245098039215686,12319.9
"pulicaria","Bishop",2022,2022208,208,"27-Jul-22","7/27/2022",46,28,15,0,0,0,0,0,0.0652173913043478,1250.1
